id,raw_text,clean_text,detected_slang_terms,formal_translation,sentiment,confidence_label,source,platform,unknown_terms,quality_flags
1,"Random post on YouTube - ""This is amazing!!""Typical response from modern youth - ""Fr""",random post on youtube - this is amazing. typical response from modern youth - fr,fr,Random post on youtube - this is amazing. typical response from modern youth - for real.,neutral,medium,local_urban_dictionary_api,urban_dictionary,amazing,contains_unknown_terms
2,Dan Howell's tired face is really hot okay ngl,dan howell's tired face is really hot okay ngl,ngl,Dan howell's tired face is really hot okay not going to lie.,neutral,medium,local_urban_dictionary_api,urban_dictionary,tired,contains_unknown_terms
6,We waited on that album for 6 months but it was mid!,we waited on that album for 6 months but it was mid,mid,We waited on that album for 6 months but it was average or unimpressive.,negative,medium,local_urban_dictionary_api,urban_dictionary,waited,contains_unknown_terms
8,sis ate,sis ate,ate,Sis performed very well or looked impressive.,positive,medium,local_urban_dictionary_api,urban_dictionary,,short_text
10,"Person 1: are you from Tennessee cuz u the only ten i see ;) Person watching from a far:Damn, that nigga has no rizz","person 1 are you from tennessee cuz u the only ten i see person watching from a far damn, that nigga has no rizz",rizz,"Person 1 are you from tennessee cuz u the only ten i see person watching from a far damn, that nigga has no charisma or romantic charm.",positive,medium,local_urban_dictionary_api,urban_dictionary,watching,contains_unknown_terms
11,yo that’s cap i didn’t fuck the dog,yo that s cap i didn t fuck the dog,cap,Yo that s a lie or exaggeration i didn t fuck the dog.,negative,high,local_urban_dictionary_api,urban_dictionary,,clean
13,Damn you got 12 likes and his reply got 271 likes? He totally ratioed you bro,damn you got 12 likes and his reply got 271 likes? he totally ratioed you bro,ratioed|bro,Damn you got 12 likes and his reply got 271 likes? he totally publicly disagreed with or outperformed in responses you he.,negative,high,local_urban_dictionary_api,urban_dictionary,,clean
14,"The home team struggled but came out with the ""W.""",the home team struggled but came out with the w,w,The home team struggled but came out with the a successful outcome.,positive,medium,local_urban_dictionary_api,urban_dictionary,struggled,contains_unknown_terms
16,Yo that crack head down the street was tweaking fighting the air earlier tripping,yo that crack head down the street was tweaking fighting the air earlier tripping,tweaking,"Yo that crack head down the street was acting unusually, panicking, or overreacting fighting the air earlier tripping.",negative,medium,local_urban_dictionary_api,urban_dictionary,fighting|tripping,contains_unknown_terms
17,"""Man, you heard that new Mike Jones album? That shit slaps!""","man, you heard that new mike jones album? that shit slaps",slaps,"Man, you heard that new mike jones album? that shit is very good or enjoyable.",positive,high,local_urban_dictionary_api,urban_dictionary,,clean
18,"Person 1: dude, you're goated person 2: thanks bro","person 1 dude, you're goated person 2 thanks bro",goated|bro,"Person 1 dude, you're considered among the greatest person 2 thanks he.",positive,high,local_urban_dictionary_api,urban_dictionary,,clean
19,"""it's a little sus that he seems to know exactly how to play this game"" ''cyan actin' sus''",it's a little sus that he seems to know exactly how to play this game ''cyan actin' sus'',sus,It's a little suspicious or questionable that he seems to know exactly how to play this game ''cyan actin' suspicious or questionable''.,negative,high,local_urban_dictionary_api,urban_dictionary,,clean
21,"Commenter: It was a good performance. The last note was flat but other than that, his vocals were impressive. Delulu: OMFG BITCH YOU DIEEEEEEE!!!!!!","commenter it was a good performance. the last note was flat but other than that, his vocals were impressive. delulu omfg bitch you diee",delulu,"Commenter it was a good performance. the last note was flat but other than that, his vocals were impressive. unrealistically optimistic or delusional omfg bitch you diee.",negative,medium,local_urban_dictionary_api,urban_dictionary,good,contains_unknown_terms
23,“Do you have a single original thought process? You npc.”,do you have a single original thought process? you npc,npc,Do you have a single original thought process? you someone perceived as unoriginal or passive.,negative,high,local_urban_dictionary_api,urban_dictionary,,clean
24,“You guys are the main characters“,you guys are the main characters,,You guys are the main characters.,neutral,low,local_urban_dictionary_api,urban_dictionary,,missing_slang|low_translation_confidence
25,"“I lowkey wanna eat an entire cake.”“I highkey wanna eat healthy, but lowkey wanna to eat an entire cake.”“I am lowkey in love with Kevin Spacey.”","i lowkey wanna eat an entire cake. i highkey wanna eat healthy, but lowkey wanna to eat an entire cake. i am lowkey in love with kevin spacey",highkey|lowkey,"I somewhat, quietly, or secretly wanna eat an entire cake. i clearly, strongly, or openly wanna eat healthy, but somewhat, quietly, or secretly wanna to eat an entire cake. i am somewhat, quietly, or secretly in love with kevin spacey.",neutral,high,local_urban_dictionary_api,urban_dictionary,,clean
26,"""damn, I highkey want that shirt!""","damn, i highkey want that shirt",highkey,"Damn, i clearly, strongly, or openly want that shirt.",neutral,high,local_urban_dictionary_api,urban_dictionary,,clean
